Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Playing Time-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success-On-Off;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;Team Success (xG)-On-Off;Matches;
1;Abdelkabir Abqar\Abdelkabir-Abqar;ma MAR;DF;Alavés;22-171;1999;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
2;Luis Abram\Luis-Abram;pe PER;DF;Granada;25-182;1996;1;45;45;25.0;0.5;1;45;0;0;;1;1.00;1;0;+1;+2.00;+2.67;0.2;0.8;-0.6;-1.11;-0.22;Matches
3;Marcos Acuña\Marcos-Acuna;ar ARG;DF;Sevilla;29-304;1991;2;163;82;90.6;1.8;2;82;1;0;;0;3.00;3;0;+3;+1.66;-3.64;3.7;0.7;+3.0;+1.67;-0.84;Matches
4;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;25-110;1996;1;90;90;33.3;1.0;1;90;1;0;;2;0.00;1;4;-3;-3.00;-1.00;1.7;1.8;-0.1;-0.09;+0.67;Matches
5;Julen Agirrezabala\Julen-Agirrezabala;es ESP;GK;Athletic Club;20-245;2000;2;180;90;100.0;2.0;2;90;2;0;;0;1.00;1;1;0;0.00;;2.2;1.9;+0.3;+0.14;;Matches
6;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;25-333;1995;1;12;12;6.7;0.1;0;;0;1;12;1;1.00;0;0;0;0.00;+0.54;0.1;0.3;-0.2;-1.78;-1.26;Matches
7;Carlos Akapo\Carlos-Akapo;gq EQG;DF;Cádiz;28-169;1993;2;180;90;100.0;2.0;2;90;2;0;;0;1.00;2;2;0;0.00;;1.9;2.5;-0.7;-0.33;;Matches
8;Paul Akouokou\Paul-Akouokou;ci CIV;MF;Betis;23-251;1997;1;81;81;45.0;0.9;1;81;0;0;;1;1.00;1;1;0;0.00;0.00;0.4;0.6;-0.1;-0.13;-0.64;Matches
9;David Alaba\David-Alaba;at AUT;DF;Real Madrid;29-065;1992;2;180;90;100.0;2.0;2;90;2;0;;0;2.00;7;4;+3;+1.50;;3.0;3.6;-0.7;-0.33;;Matches
10;Tomás Alarcón\Tomas-Alarcon;cl CHI;MF;Cádiz;22-221;1999;2;177;89;98.3;2.0;2;89;1;0;;0;1.00;2;2;0;0.00;0.00;1.8;2.5;-0.7;-0.35;-0.91;Matches
11;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;32-160;1989;2;180;90;100.0;2.0;2;90;2;0;;0;2.00;5;3;+2;+1.00;;3.7;2.5;+1.3;+0.65;;Matches
12;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;35-358;1985;2;180;90;100.0;2.0;2;90;2;0;;0;1.00;0;0;0;0.00;;1.7;2.1;-0.5;-0.23;;Matches
