Squad;# Pl;Age;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Starts-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;
Alavés;24;27.9;7;630;90;100;7.0;77;80;41;35;22;45;0.43;2;12;-10;-1.43;4.7;10.0;-5.3;-0.76
Athletic Club;21;27.2;8;720;90;100;8.0;88;82;50;38;18;44;1.63;7;4;+3;+0.37;10.3;6.6;+3.7;+0.47
Atlético Madrid;21;28.4;8;720;90;100;8.0;88;80;50;37;24;36;2.13;11;6;+5;+0.62;9.2;6.1;+3.1;+0.38
Barcelona;25;26.5;7;630;90;100;7.0;77;81;43;32;21;41;1.71;11;7;+4;+0.57;11.3;7.2;+4.1;+0.58
Betis;28;28.5;7;630;90;100;7.0;77;79;43;33;24;51;1.71;11;7;+4;+0.57;12.6;6.3;+6.3;+0.89
Cádiz;26;28.3;8;720;90;100;8.0;88;79;49;38;26;54;0.88;7;11;-4;-0.50;7.5;11.5;-4.0;-0.50
Celta Vigo;21;28.9;7;630;90;100;7.0;77;80;46;30;25;32;1.00;7;10;-3;-0.43;8.3;11.2;-3.0;-0.43
Elche;23;30.0;7;630;90;100;7.0;77;81;44;33;20;49;0.86;4;8;-4;-0.57;5.0;10.6;-5.6;-0.79
Espanyol;25;28.4;7;630;90;100;7.0;77;80;42;34;23;49;0.86;4;7;-3;-0.43;7.0;7.3;-0.4;-0.05
Getafe;25;27.0;7;630;90;100;7.0;77;77;42;33;29;44;0.00;2;12;-10;-1.43;4.5;10.0;-5.5;-0.78
Granada;23;28.7;7;630;90;100;7.0;77;79;44;33;27;47;0.43;5;12;-7;-1.00;4.6;12.0;-7.5;-1.07
Levante;26;28.4;8;720;90;100;8.0;88;82;50;38;19;52;0.50;6;13;-7;-0.87;9.4;10.5;-1.1;-0.14
Mallorca;27;27.6;8;720;90;100;8.0;88;81;49;39;20;57;1.38;7;12;-5;-0.62;7.0;10.3;-3.4;-0.42
Osasuna;24;28.1;8;720;90;100;8.0;88;84;51;37;15;58;1.75;11;11;0;0.00;10.1;8.6;+1.6;+0.19
Rayo Vallecano;23;27.6;8;720;90;100;8.0;88;79;47;40;22;56;1.63;13;8;+5;+0.62;10.1;10.4;-0.3;-0.04
Real Madrid;22;27.8;7;630;90;100;7.0;77;82;46;31;19;44;2.43;21;8;+13;+1.86;12.6;8.9;+3.6;+0.52
Real Sociedad;26;25.4;7;630;90;100;7.0;77;83;42;35;16;37;2.29;10;6;+4;+0.57;11.5;6.3;+5.2;+0.75
Sevilla;23;29.0;6;540;90;100;6.0;66;78;36;29;26;42;2.33;10;2;+8;+1.33;9.1;4.1;+4.9;+0.82
Valencia;25;25.7;8;720;90;100;8.0;88;81;51;35;19;49;1.50;12;8;+4;+0.50;9.2;6.1;+3.1;+0.39
Villarreal;22;28.4;6;540;90;100;6.0;66;80;36;29;22;34;1.33;6;3;+3;+0.50;7.0;6.7;+0.3;+0.05
