Squad;# Pl;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;AttLaunched;Cmp%;AttPass;Thr;PassLaunch%;AvgLenPass;AttGks;GksLaunch%;AvgLenGks;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist
Alanyaspor;1;26.0;25;9;;;;;;;;;;;;;;;;;;;;;;;
Ankaragücü;2;26.0;45;5;;;;;;;;;;;;;;;;;;;;;;;
Antalyaspor;2;26.0;43;3;;;;;;;;;;;;;;;;;;;;;;;
Başakşehir;1;26.0;25;3;;;;;;;;;;;;;;;;;;;;;;;
Beşiktaş;2;26.0;32;4;;;;;;;;;;;;;;;;;;;;;;;
Denizlispor;2;26.0;34;2;;;;;;;;;;;;;;;;;;;;;;;
Fenerbahçe;2;26.0;34;4;;;;;;;;;;;;;;;;;;;;;;;
Galatasaray;2;26.0;20;2;;;;;;;;;;;;;;;;;;;;;;;
Gaziantep FK;2;26.0;40;4;;;;;;;;;;;;;;;;;;;;;;;
Gençlerbirliği;3;26.0;44;5;;;;;;;;;;;;;;;;;;;;;;;
Göztepe;2;26.0;30;3;;;;;;;;;;;;;;;;;;;;;;;
Kasımpaşa;2;26.0;50;8;;;;;;;;;;;;;;;;;;;;;;;
Kayserispor;2;26.0;62;7;;;;;;;;;;;;;;;;;;;;;;;
Konyaspor;2;25.9;33;2;;;;;;;;;;;;;;;;;;;;;;;
Rizespor;3;26.0;44;4;;;;;;;;;;;;;;;;;;;;;;;
Sivasspor;2;26.0;29;3;;;;;;;;;;;;;;;;;;;;;;;
Trabzonspor;2;26.0;28;2;;;;;;;;;;;;;;;;;;;;;;;
Yeni Mal'spor;1;26.0;40;4;;;;;;;;;;;;;;;;;;;;;;;
