id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Matches
1;Mohamed Abarhoun\Mohamed-Abarhoun;ma MAR;DF;Rizespor;30;1989;19.3;2;0;0;15;10;1;1;15;29;;;0;Matches
2;Aymen Abdennour\Aymen-Abdennour;tn TUN;DF;Kayserispor;29;1989;10.0;4;1;1;10;3;1;2;4;11;;;0;Matches
3;Afriyie Acquah\Afriyie-Acquah;gh GHA;MF;Yeni Mal'spor;27;1992;15.9;5;0;0;25;16;2;10;9;12;;;0;Matches
4;Emmanuel Adebayor\Emmanuel-Adebayor;tg TOG;FW;Kayserispor;35;1984;7.4;1;0;0;16;9;7;1;1;2;;;0;Matches
5;Adryan\Adryan;br BRA;FWMF;Kayserispor;24;1994;1.0;0;0;0;1;1;1;2;2;0;;;0;Matches
6;Sedat Ağçay\Sedat-Agcay;tr TUR;MF;Ankaragücü;37;1981;15.7;5;1;1;18;9;0;12;20;11;;;0;Matches
7;Ismaïl Aissati\Ismail-Aissati;ma MAR;MF;Denizlispor;30;1988;19.3;4;0;0;13;13;2;36;12;11;;;0;Matches
8;Emre Akbaba\Emre-Akbaba;tr TUR;MF;Galatasaray;26;1992;4.6;0;0;0;3;5;1;10;1;1;;;0;Matches
9;Mustafa Akbaş\Mustafa-Akbas;tr TUR;DF;Yeni Mal'spor;29;1990;12.7;3;2;0;11;11;0;0;14;15;;;0;Matches
10;Halil Akbunar\Halil-Akbunar;tr TUR;MFFW;Göztepe;25;1993;16.8;3;0;0;32;20;6;59;24;17;;;0;Matches
11;Yunus Akgün\Yunus-Akgun;tr TUR;FW;Galatasaray;19;2000;0.1;1;0;0;2;0;0;0;0;0;;;0;Matches
12;Gökhan Akkan\Gokhan-Akkan;tr TUR;GK;Rizespor;24;1995;19.6;1;0;0;1;1;0;0;0;0;;;0;Matches
13;Atakan Akkaynak\Atakan-Akkaynak;de GER;MF;Rizespor;20;1999;0.1;0;0;0;0;0;0;2;0;0;;;0;Matches
14;Fatih Aksoy\Fatih-Aksoy;tr TUR;MF;Sivasspor;21;1997;13.8;6;0;0;23;9;0;11;23;27;;;0;Matches
15;Aksel Aktas\Aksel-Aktas;tr TUR;MF;Kayserispor;20;1999;1.7;1;0;0;3;1;0;2;3;1;;;0;Matches
16;Kubilay Aktaş\Kubilay-Aktas;tr TUR;MFDF;Gaziantep FK;24;1995;2.0;1;0;0;3;0;0;0;0;4;;;0;Matches
17;Ufuk Akyol\Ufuk-Akyol;de GER;MF;Antalyaspor;21;1997;15.3;4;0;0;20;16;1;5;13;7;;;0;Matches
18;Mehmet Akyüz\Mehmet-Akyuz;tr TUR;FW;Denizlispor;33;1986;1.9;0;0;0;3;3;3;7;0;0;;;0;Matches
19;Burak Albayrak\Burak-Albayrak;tr TUR;DF;Rizespor;21;1998;1.0;0;0;0;0;1;0;0;1;1;;;0;Matches
20;Eren Albayrak\Eren-Albayrak;tr TUR;DF;Antalyaspor;28;1991;7.4;1;0;0;9;13;0;22;13;11;;;0;Matches
21;Danijel Aleksić\Danijel-Aleksic;rs SRB;MF;Başakşehir;28;1991;8.2;2;0;0;13;14;0;21;7;10;;;0;Matches
