Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;GlsPerM;AstPerM;G+A;G-PK;G+A-PK;xG;npxG;xA;xGPerM;xAPerM;xG+xA;npxGPerM;npxG+xA
Arsenal;26;27;297;2430;39;26;2;2;64;3;1.44;0.96;2.41;1.37;2.33;35.0;33.5;21.3;1.30;0.79;2.09;1.24;2.03
Aston Villa;28;27;297;2430;33;27;1;3;54;1;1.22;1.00;2.22;1.19;2.19;30.6;28.2;22.0;1.13;0.81;1.95;1.04;1.86
Bournemouth;25;28;308;2520;27;17;1;1;60;3;0.96;0.61;1.57;0.93;1.54;31.2;30.5;20.8;1.12;0.74;1.86;1.09;1.83
Brighton;23;28;308;2520;28;19;1;1;44;2;1.00;0.68;1.68;0.96;1.64;33.8;33.1;22.4;1.21;0.80;2.01;1.18;1.98
Burnley;21;28;308;2520;32;23;2;2;53;0;1.14;0.82;1.96;1.07;1.89;30.9;29.4;18.9;1.10;0.68;1.78;1.05;1.73
Chelsea;24;28;308;2520;47;31;4;4;52;0;1.68;1.11;2.79;1.54;2.64;48.3;45.3;33.4;1.72;1.19;2.92;1.62;2.81
Crystal Palace;24;28;308;2520;23;16;3;3;44;1;0.82;0.57;1.39;0.71;1.29;27.7;25.5;18.9;0.99;0.68;1.66;0.91;1.59
Everton;23;28;308;2520;35;26;0;0;57;3;1.25;0.93;2.18;1.25;2.18;41.0;41.0;24.9;1.46;0.89;2.35;1.46;2.35
Leicester City;21;28;308;2520;52;39;4;6;31;1;1.86;1.39;3.25;1.71;3.11;44.9;40.3;31.4;1.60;1.12;2.73;1.44;2.56
Liverpool;23;28;308;2520;62;51;5;5;26;1;2.21;1.82;4.04;2.04;3.86;55.0;51.2;39.5;1.96;1.41;3.37;1.83;3.24
Manchester City;22;27;297;2430;68;52;3;7;51;3;2.52;1.93;4.44;2.41;4.33;64.7;59.5;47.2;2.40;1.75;4.14;2.20;3.95
Manchester Utd;28;28;308;2520;41;27;6;10;54;0;1.46;0.96;2.43;1.25;2.21;42.8;35.3;27.6;1.53;0.99;2.51;1.26;2.24
Newcastle Utd;27;28;308;2520;24;17;0;0;49;3;0.86;0.61;1.46;0.86;1.46;22.5;22.5;16.2;0.80;0.58;1.38;0.80;1.38
Norwich City;26;28;308;2520;24;17;2;2;53;1;0.86;0.61;1.46;0.79;1.39;32.4;31.0;22.7;1.16;0.81;1.97;1.11;1.92
Sheffield Utd;22;27;297;2430;26;17;1;1;51;1;0.96;0.63;1.59;0.93;1.56;32.6;31.9;24.8;1.21;0.92;2.13;1.18;2.10
Southampton;23;28;308;2520;35;20;1;2;44;2;1.25;0.71;1.96;1.21;1.93;39.4;37.7;24.0;1.41;0.86;2.26;1.35;2.20
Tottenham;29;28;308;2520;44;30;2;3;61;3;1.57;1.07;2.64;1.50;2.57;37.2;34.8;24.8;1.33;0.88;2.21;1.24;2.13
Watford;25;28;308;2520;27;18;4;5;61;3;0.96;0.64;1.61;0.82;1.46;33.5;29.8;21.5;1.20;0.77;1.97;1.06;1.83
West Ham;28;28;308;2520;35;26;3;3;53;1;1.25;0.93;2.18;1.14;2.07;31.3;29.1;22.5;1.12;0.80;1.92;1.04;1.84
Wolves;20;28;308;2520;39;27;3;3;48;2;1.39;0.96;2.36;1.29;2.25;38.3;36.0;26.4;1.37;0.94;2.31;1.29;2.23
