Squad;# Pl;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm
Arsenal;1;27;27;2430;36;1.33;130;97;.762;8;13;6;6;22.2;6;5;1;0
Aston Villa;4;27;27;2430;52;1.93;142;93;.655;7;4;16;4;14.8;4;3;1;0
Bournemouth;2;28;28;2520;45;1.61;136;95;.699;7;6;15;4;14.3;4;4;0;0
Brighton;1;28;28;2520;40;1.43;126;91;.698;6;10;12;5;17.9;2;2;0;0
Burnley;1;28;28;2520;39;1.39;119;81;.689;11;5;12;11;39.3;3;2;1;0
Chelsea;2;28;28;2520;39;1.39;84;50;.560;13;6;9;5;17.9;2;2;0;0
Crystal Palace;2;28;28;2520;32;1.14;124;93;.742;9;9;10;8;28.6;1;0;0;1
Everton;1;28;28;2520;42;1.50;107;68;.617;10;7;11;6;21.4;1;1;0;0
Leicester City;1;28;28;2520;28;1.00;103;80;.777;15;5;8;9;32.1;6;5;1;0
Liverpool;2;28;28;2517;20;0.72;81;61;.753;26;1;1;12;42.9;0;0;0;0
Manchester City;2;27;27;2427;29;1.08;80;52;.663;18;3;6;10;37.0;2;2;0;0
Manchester Utd;1;28;28;2520;30;1.07;97;68;.701;11;9;8;7;25.0;1;1;0;0
Newcastle Utd;1;28;28;2520;41;1.46;149;108;.725;8;8;12;8;28.6;0;0;0;0
Norwich City;3;28;28;2520;51;1.82;141;93;.667;5;6;17;5;17.9;7;4;3;0
Sheffield Utd;2;27;27;2430;25;0.93;93;68;.731;10;10;7;9;33.3;2;0;1;1
Southampton;2;28;28;2520;51;1.82;130;82;.631;10;4;14;6;21.4;3;3;0;0
Tottenham;2;28;28;2520;39;1.39;131;96;.733;11;7;10;4;14.3;6;4;2;0
Watford;1;28;28;2520;43;1.54;119;81;.689;6;9;13;9;32.1;6;6;0;0
West Ham;4;28;28;2520;49;1.75;140;97;.679;7;6;15;6;21.4;5;4;1;0
Wolves;1;28;28;2520;34;1.21;101;67;.663;10;12;6;7;25.0;2;0;2;0
